id	title	rank	probability
8290	Arbetsledare, garnberedning	389	0,016
7141	Arbetsledare, golv	1932	0,17
7141	Arbetsledare, gruvdrift	1932	0,17
7141	Arbetsledare, husbyggnad	1932	0,17
8290	Arbetsledare, kemiska och farmaceutiska produkter	389	0,016
8290	Arbetsledare, konfektyr	389	0,016
3431	Arbetsledare, kontorspersonal	292	0,014
8290	Arbetsledare, kvarn	389	0,016
4131	Arbetsledare, lager	7685	0,98
8290	Arbetsledare, livsmedelsindustri	389	0,016
8290	Arbetsledare, mejeriprodukter	389	0,016
8290	Arbetsledare, metallarbete	389	0,016
8290	Arbetsledare, montering	389	0,016
8290	Arbetsledare, montering övrig tillverkning	389	0,016
7141	Arbetsledare, mureri	1932	0,17
7141	Arbetsledare, måleri	1932	0,17
8290	Arbetsledare, packning, påfyllning och märkning	389	0,016
8290	Arbetsledare, pappersbruk	389	0,016
8290	Arbetsledare, pappersprodukter	389	0,016
7141	Arbetsledare, rivning	1932	0,17
6140	Arbetsledare, skogvaktare	6995	0,97
7141	Arbetsledare, ställningsbygge	1932	0,17
8290	Arbetsledare, textilfärgning	389	0,016
8290	Arbetsledare, textilindustri	389	0,016
8290	Arbetsledare, tobaksindustri	389	0,016
8290	Arbetsledare, tryckeri	389	0,016
8290	Arbetsledare, vävning och stickning	389	0,016
2480	Arbetsmarknadshandläggare	2110	0,23
3431	Arbetsmarknadsråd	2245	0,25
2480	Arbetsmarknadssamordnare	2110	0,23
2480	Arbetsmarknadssekreterare	2110	0,23
3222	Arbetsmiljöhandläggare	1932	0,17
3222	Arbetsmiljöingenjör	1932	0,17
3222	Arbetsmiljöinspektör	1932	0,17
3222	Arbetsmiljökonsulent	1932	0,17
9142	Arbetsplatsombud	4610	0,86
2491	Arbetspsykolog	267	0,012
2423	Arbetsrättsjurist	1033	0,06
3221	Arbetsterapeut	659	0,027
5139	Arbetsterapibiträde	4610	0,86
3423	Arbetsvägledare	6995	0,97
6113	Arborist	4803	0,87
8211	Arborrare	7685	0,98
7212	Arcatomsvetsare	5982	0,94
3415	Area manager, försäljning	2245	0,25
3415	Area sales manager	2245	0,25
7212	Argonbågsvetsare	5982	0,94
8144	Arkare	4095	0,81
2443	Arkeolog	2245	0,25
4140	Arkeologbiträde	8403	0,99
2141	Arkitekt	457	0,018
2432	Arkivamanuens	3991	0,76
4140	Arkivarbetare	6995	0,97
2432	Arkivarie	3991	0,76
4140	Arkivassistent	6995	0,97
4140	Arkivbiträde	6995	0,97
2419	Arkivchef, funktions- eller mellanchef	2245	0,25
2419	Arkivchef, verksamhetsnära chef	2245	0,25
3131	Arkivfotograf	512	0,021
2432	Arkivföreståndare	3991	0,76
4140	Arkivkanslist	6995	0,97
3320	Arkivpedagog	3212	0,56
2432	Arkivråd	3991	0,76
8144	Arkmaskinförare	4095	0,81
8251	Arkoffsettryckare	4273	0,83
8144	Arkskärare	4095	0,81
7422	Armaturmontör, porslin	5183	0,9
110	Arméchef	3765	0,72
3115	Arméingenjör	4095	0,81
110	Arméofficer	3765	0,72
8212	Armerare, betongvaruindustri	6995	0,97
7122	Armerare, bygg och anläggning	5982	0,94
